bin	n	rel_diff_mean	rel_diff_median	rel_diff_p95	abs_diff_mean	abs_diff_median	pct_sig_py	pct_sig_rust	sig_agreement_pct
3	7330	0.1611	0.1788	0.3990	0.0833	0.1229	0.1910	0.0955	99.9045
4	12910	0.3562	0.2609	0.6054	0.1016	0.0895	1.2703	0.0930	98.8226
5	5598	1.3660	0.2029	5.8447	0.1686	0.1218	1.3934	0.1429	98.7496
6	3858	1.4832	0.2204	5.8447	0.1117	0.0842	8.5018	0.2851	91.7833
7	4860	0.9287	0.2316	2.0766	0.1191	0.0678	4.7531	1.3786	96.6255
8	2857	0.8127	0.1624	1.7908	0.1154	0.0750	5.2503	2.1351	96.8848
9	2098	0.6593	0.1330	2.6397	0.0962	0.0488	5.0048	2.5739	97.5691
10	6654	0.6246	0.1779	2.0192	0.1161	0.0587	3.9525	1.9687	98.0162
11-15	1310	0.4824	0.1466	2.1321	0.0572	0.0437	10.5344	3.3588	92.8244
16-20	620	0.3061	0.0875	1.5272	0.0362	0.0230	12.9032	9.0323	96.1290
21-30	226	0.0958	0.0458	0.3573	0.0158	0.0093	13.7168	10.1770	96.4602
31-50	81	0.0398	0.0082	0.1314	0.0083	0.0038	6.1728	6.1728	100.0000
51-100	19	0.0244	0.0101	0.0947	0.0047	0.0021	10.5263	5.2632	94.7368
101-200	5	0.0012	0.0012	0.0022	0.0005	0.0003	0.0000	0.0000	100.0000
